ReqID,TestId,RunID,RunStatus,RunCycle,RegWt,ModuleQuality,ModuleCriticality
21,18390,197218,0,3,0,1,3
21,18390,206024,0,4,0,1,3
21,18391,184795,0,1,0,1,3
21,18391,190340,0,2,0,1,3
21,18391,197225,0,3,0,1,3
21,18391,204151,0,4,0,1,3
21,18392,187769,0,1,0,1,3
21,18392,205778,1,2,4,1,3
6,18393,184732,0,1,0,2,2
6,18393,190381,0,2,0,2,2
6,18393,197202,0,3,0,2,2
6,18393,204171,0,4,0,2,2
6,18393,211377,0,5,0,2,2
6,18393,215416,0,6,0,2,2
6,18393,226555,0,7,0,2,2
6,18394,184729,0,1,0,2,2
6,18394,190377,0,2,0,2,2
6,18394,197198,0,3,0,2,2
6,18394,204170,0,4,0,2,2
6,18394,211371,0,5,0,2,2
6,18394,215410,0,6,0,2,2
6,18394,226549,0,7,0,2,2
6,18395,187083,0,1,0,2,2
6,18395,190380,0,2,0,2,2
6,18395,197201,0,3,0,2,2
6,18395,206019,0,4,0,2,2
6,18395,211376,0,5,0,2,2
6,18395,215415,0,6,0,2,2
6,18395,226554,0,7,0,2,2
6,18396,184734,0,1,0,2,2
6,18396,190383,0,2,0,2,2
6,18396,197205,0,3,0,2,2
6,18396,204172,0,4,0,2,2
6,18396,210420,0,5,0,2,2
6,18396,215421,0,6,0,2,2
6,18396,226557,0,7,0,2,2
6,18397,187759,1,1,2,2,2
6,18397,193465,1,2,4,2,2
6,18397,200014,1,3,8,2,2
6,18397,206447,1,4,16,2,2
6,18397,211524,1,5,32,2,2
6,18397,215409,0,6,0,2,2
6,18397,226546,1,7,128,2,2
6,18398,205769,1,1,2,2,2
6,18398,215419,1,2,4,2,2
21,18399,187070,0,1,0,1,3
21,18399,190341,0,2,0,1,3
21,18399,197224,0,3,0,1,3
21,18399,206242,0,4,0,1,3
21,18400,184749,0,1,0,1,3
21,18400,190411,0,2,0,1,3
21,18400,197219,0,3,0,1,3
21,18400,206026,0,4,0,1,3
17,18697,184761,0,1,0,1,3
17,18697,193452,0,2,0,1,3
17,18697,200279,0,3,0,1,3
17,18697,204216,0,4,0,1,3
17,18698,184763,0,1,0,1,3
17,18698,190366,0,2,0,1,3
17,18698,200280,0,3,0,1,3
17,18698,204215,0,4,0,1,3
17,18699,184762,0,1,0,1,3
17,18699,190364,0,2,0,1,3
17,18699,200281,0,3,0,1,3
17,18699,204217,0,4,0,1,3
17,18700,184764,0,1,0,1,3
17,18700,190365,0,2,0,1,3
17,18700,200282,0,3,0,1,3
17,18700,204501,0,4,0,1,3
17,18700,204519,1,5,32,1,3
17,18700,205848,0,6,0,1,3
17,18701,185920,0,1,0,1,3
17,18701,193455,0,2,0,1,3
17,18701,200284,0,3,0,1,3
17,18701,204507,0,4,0,1,3
17,18702,184767,0,1,0,1,3
17,18702,190367,0,2,0,1,3
17,18702,200285,0,3,0,1,3
17,18702,204505,0,4,0,1,3
17,18703,187758,0,1,0,1,3
17,18703,190368,0,2,0,1,3
17,18703,201534,0,3,0,1,3
17,18703,205859,0,4,0,1,3
17,18704,184766,0,1,0,1,3
17,18704,193453,0,2,0,1,3
17,18704,200286,0,3,0,1,3
